[2.065378414177752,-3.6499627326840196]
[-1.5314234973041815e-2,-4.186619838331276]
[-0.1206730359547002,-3.5447133219649243]
[-1.5314234973044369e-2,-4.186619838331274]
[-0.12067303595468777,-4.2918692490503725]
[22.751918176697867,34.62649885144639]
[5.455003540069952,14.910803332139198]
[-1.5314234973042481e-2,-4.186619838331271]
[4.882322379683639,24.312787890242774]
[8.324520735444208,-1.5204722943709537]
[7.757266059374005,-4.502368070488566]
[6.482681895896848,-4.397118659769468]
[4.0939189650828745,-4.291869249050372]
[4.093918965082869,-4.291869249050376]
[18.465164848145708,-4.6076174812076625]
[6.252854128168495,-4.397118659769467]
[4.558365299849476,-4.291869249050371]
[16.537761586699343,17.320951216201955]
[-0.12067303595469941,-4.291869249050371]
[0.15509030217313394,10.509704343049064]
[-0.12067303595469252,-2.4116505384106897]
[17.360653724954194,-4.712866891926765]
[11.276303808338787,-4.502368070488566]
[6.252854128168496,-4.397118659769468]
[4.558365299849476,-4.291869249050371]
[11.12206091595439,13.793464979911365]
[-1.5314234973046922e-2,-4.186619838331273]
[-1.5314234973042925e-2,-4.186619838331273]
[5.474407325065663,29.378245759249836]
[2.170737215159402,-4.291869249050367]
[19.607322547861205,9.731527060275077]
[4.578795019259364,-4.29186924905037]
[7.40610873250258,-4.397118659769468]
[11.089812539309111,-4.502368070488565]
[5.4309920159430805,-4.291869249050371]
[5.430992015943081,-4.291869249050371]
[4.558365299849475,-4.291869249050372]
[4.558365299849475,-4.291869249050373]
[6.737864549680162,22.084775973434795]
[1.2683951618025366,-2.9028068055985736]
[2.2554319406288585,15.907230986898037]
[1.3632036831209675,-2.585217513527488]
[6.1680305393166845,-4.397118659769468]
[7.40610873250258,-4.397118659769468]
[-1.5314234973042703e-2,-4.186619838331273]
[4.558365299849475,-4.291869249050371]
[8.821977328507634,-4.607617481207663]
[7.40610873250258,-4.397118659769468]
[-1.5314234973040497e-2,-4.186619838331273]
[4.558365299849478,-4.29186924905037]
[17.66140760219005,-4.712866891926761]
[20.075233096211793,-4.71286689192676]
[9.595870442963028,-4.607617481207663]
[1.3456627138573203,-4.291869249050371]
[9.794329252469671,-4.502368070488566]
[-1.5314234973041371e-2,-4.186619838331273]
[4.558365299849477,-4.291869249050371]
[4.558365299849476,-4.291869249050371]
[-1.5314234973042925e-2,-4.186619838331273]
[8.688028219315278,-4.397118659769468]
[1.3456627138573212,-4.291869249050371]
[5.332793220403251,-4.397118659769468]
[3.9718162715728895,-4.291869249050371]
[4.558365299849477,-4.291869249050371]
[2.036433812986901,11.490407566481503]
[11.406228164543192,30.627785447166254]
[-0.1206730359546979,-3.544713321964924]
[4.089550022667346e-3,9.94202588171327]
[5.003614271484395,7.049655084988364]
[4.803446949184304,10.453144615340596]
[2.5977465097469263,0.7381334711613237]
[3.335258116618516,-1.1133580229071658]
[2.5521045585781157,0.2757044205446304]
[1.5941734572453583,3.078487093300346]
[-1.531423497304559e-2,-4.186619838331273]
[4.578795019259363,-4.291869249050371]
[7.406108732502578,-4.397118659769468]
[15.745767615979334,-4.712866891926762]
[-1.531423497304337e-2,-4.186619838331273]
[7.819754946757055,-4.397118659769468]
[3.9626842158982565,-4.397118659769468]
[4.558365299849475,-4.29186924905037]
[4.558365299849474,-4.291869249050371]
[0.8469599578759132,3.115418939621744]
[-1.5314234973040122e-2,-4.186619838331274]
[4.578795019259361,-4.291869249050372]
[7.406108732502582,-4.397118659769468]
[5.430992015943079,-4.291869249050371]
[-1.531423497304305e-2,-4.186619838331273]
[7.819754946757054,-4.397118659769468]
[3.962684215898253,-4.397118659769468]
[4.558365299849476,-4.291869249050371]
[4.5583652998494735,-4.291869249050369]
[5.579766126047312,28.262089211001083]
[1.4985165487615588,11.701270750307458]
[1.2683951618025366,-2.9028068055985736]
[5.8019106816093755,7.284447329890925]
[7.020227536000401,-4.397118659769468]
[-1.5314234973042453e-2,-4.186619838331273]
[-0.5421082398813218,-0.9770872564995274]
[11.675093087035766,3.4330082316928285]
[13.854310155990822,28.97149585017381]
[8.429879536425863,-1.4152228836518588]
[1.2683951618025366,-1.0081086121880682]
